seq	gate	cwd	exit_code	log_path	timestamp	runtime
1	runtime-versions	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/full-ci/run1/infra/runtime-versions.log	2026-06-30T21:35:38Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
2	code-hash	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/full-ci/run1/hash/code-tested.log	2026-06-30T21:35:38Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
3	infra-postgres-check	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/full-ci/run1/infra/postgres-check.log	2026-06-30T21:35:40Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
4	infra-redis-check	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/full-ci/run1/infra/redis-check.log	2026-06-30T21:35:40Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
5	infra-postgres-db-prep	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/full-ci/run1/infra/postgres-db-prep.log	2026-06-30T21:35:40Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
6	install-core-bank	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/domains/core-bank	0	artifacts/verification/full-ci/run1/install/5-005-install-core-bank.log	2026-06-30T21:35:41Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
7	install-web-bff	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/bff/web-bff	0	artifacts/verification/full-ci/run1/install/6-006-install-web-bff.log	2026-06-30T21:35:42Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
8	install-outbox-relay	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/workers/outbox-relay	0	artifacts/verification/full-ci/run1/install/7-007-install-outbox-relay.log	2026-06-30T21:35:43Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
9	install-web-banking	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/apps/web-banking	0	artifacts/verification/full-ci/run1/install/8-008-install-web-banking.log	2026-06-30T21:35:43Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
10	migrations	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/domains/core-bank	0	artifacts/verification/full-ci/run1/integration/9-009-migrations.log	2026-06-30T21:35:44Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
11	secret-scan-gitleaks-domains-core-bank	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/full-ci/run1/security/10-010-secret-scan-gitleaks-domains-core-bank.log	2026-06-30T21:35:45Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
12	secret-scan-secretlint-domains-core-bank	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/full-ci/run1/security/11-011-secret-scan-secretlint-domains-core-bank.log	2026-06-30T21:35:49Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
13	secret-scan-gitleaks-bff-web-bff	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/full-ci/run1/security/12-012-secret-scan-gitleaks-bff-web-bff.log	2026-06-30T21:35:51Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
14	secret-scan-secretlint-bff-web-bff	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/full-ci/run1/security/13-013-secret-scan-secretlint-bff-web-bff.log	2026-06-30T21:35:57Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
